"RefDes","Name","Value"
"C1","CAP_SMD_ALU_D","220uF"
"C2","CAP_SMD_ALU_D","220uF"
"C5","CAP_SMD_ALU_D","220uF"
"C6","CAP_0603","1uF"
"C7","CAP_0603","1uF"
"C8","CAP_0603","1uF"
"C12","CAP_0603","1uF"
"C13","CAP_0603","1uF"
"D1","Zener1206","3.3V"
"D10","LL4007","IN4007"
"ESP-12E","ESP-12E","ESP-12"
"F1","PTCFUSE-1206","3A"
"J8","HDR-1x4",""
"J9","HDR-1x6",""
"J10","HDR-1x2","+ Power -"
"R14","RES_0805","1k"
"R15","RES_0805","10K"
"R17","RES_0805","10K"
"R18","RES_0805","10K"
"REG1","LD1117","3.3V"
"REG2","LD1117","5V"
"U6","LEDSMT1206",""
"U8","MAX232ESE",""
