RefDes,Name,Value
B2,SMD-BATTERY-CELL-HOLDER-PLASTIC,3.3v
C2,CAP_POLG,220uf 50v
C3,CAP_POLF80,220uf 35v
C4,CAP_POLF80,220uf 35v
C5,CAP_0603,0.1uf
C6,CAP_0603,0.1uf
D1,LL4007,IN4007
D2,LL4007,IN4007
D3,LL4007,IN4007
D4,LL4007,IN4007
D5,LL4007,IN4007
D6,LL4007,IN4007
D7,LL4007,IN4007
D8,LL4007,IN4007
D9,SCHOTTKY-SS54,SS54
D10,LL4007,IN4007
D11,LEDCHIP-LED0805,Blue
F1,PTCFUSE-1206,3A
F2,PTCFUSE-1206,2A
F3,PTCFUSE-1206,2A
J1,Connector 2 * 3.96,+ Power -
J2,Connector 2 * 3.81,Vertical
J3,Connector 2 * 3.81,Horizontal
J4,Connector 3 * 3.81,Sensor
L1,INDUCTOR 12X12mm,
R1,RES_1206,2.2k
R2,RES_1206,2.2k
R21,RES_1206,634
U1,Untitled,
U2,Arduino Nano 3.0,
U3,DS1307Z,DS1307Z
U4,HC_06,
U5,L298HEATSINK2,
U6,LM2596S-12,
X1,CRYSTALTC26H,32769 kHz
