SkyeTracker V7,,,,,
Column1,Column2,Column3,,,
Part,Quantity,Stock,Unit Price,Sum,Link
,,,,,
CR1220 3.3v Lithium Coin Cells Button Battery,1,21,0.194800,$0.194800,
CR1220 3.3v Lithium Coin Cells Button Battery holder,1,1,0.650000,$0.650000,
50V 220UF SMD Aluminum Electrolytic Capacitors Size 10*10.2MM,1,7,0.554500,$0.554500,
35v 220UF SMD Aluminum Electrolytic Capacitors Size 8x10mm,2,54,0.708500,$1.417000,
0.1uf Ceramic capacitors SMD 0603,2,20,0.007327,$0.014654,
DO-214AC M7 SMA IN4007 SMD 1A ,8,63,0.049900,$0.399200,
SCHOTTKY SS54 5A 40V DO-214AC,2,16,0.170000,$0.340000,
SMD 0805 Blue LED,1,100,0.013720,$0.013720,
1206 SMD Resettable Fuse DC:32V 3A,1,2,0.268000,$0.268000,
1206 SMD Resettable Fuse DC:32V 2A,2,47,0.268000,$0.536000,
2Pin Plug-in Screw Terminal Block Connector 3.81mm Pitch Right Angle Orange,1,20,0.543500,$0.543500,
2Pin Plug-in Screw Terminal Block Connector 3.81mm Pitch Right Angle Green,2,20,0.720000,$1.440000,
INDUCTOR 12X12mm,1,7,0.471000,$0.471000,
2.2k Resistor SMD 1206,2,100,0.005552,$0.011104,
634 Resistor SMD 1206,1,100,0.005552,$0.005552,
40pin Strip Tin PCB Female IC Breakable Single Row,1,3,0.667000,$0.667000,
Arduino Nano V3.0 ATmega328,1,4,3.132000,$3.132000,
DS1307Z SMD SOP-8,1,9,0.130600,$0.130600,
HC_06 Bluetooth RF Transceiver Module,1,4,4.134000,$4.134000,
L298N ZIP-15 ST DUAL FULL BRIDGE MOTOR DRIVER,1,10,1.434000,$1.434000,
"Screw for heat sink, 2.7 * 6mm",1,10,0.059000,$0.059000,
Black Aluminum Heat Sink Heatsink for TO220 L298N ,1,7,0.443000,$0.443000,
LM2596S-12 TO-263 LM2596 12V Voltage Regulator,1,4,0.693000,$0.693000,
SMD-2Pin 32.768K 32.768KHz Crystal 3.2mm×1.5mm,1,40,1.384000,$1.384000,
PCB,1,2,13.500000,$13.500000,
158x90x65mm Clear Waterproof Plastic Electronic Project Box Enclosure Cover CASE,1,0,6.990000,$6.990000,http://www.ebay.ca/itm/158x90x65mm-Clear-Waterproof-Plastic-Electronic-Project-Box-Enclosure-Cover-CASE-/262063317709?hash=item3d0430e2cd:g:CXUAAOSw9r1WA2oK
Nylon Plastic stick on PCB Locking Snap-In Spacer Standoff 3mm Hole,4,0,0.140500,$0.562000,http://www.ebay.ca/itm/221939473950?var=520828301848
Strain Relief Bushing for 5mm Round Cables,3,0,0.080800,$0.242400,http://www.ebay.ca/itm/50pieces-Nylon-Wires-Protectors-Strain-Relief-Bushing-for-5mm-Round-Cables-/351136555494?hash=item51c15ea1e6:g:7zsAAOSwyQtVz7K8
,,,,,
,,,,,
,,,,$40.230030,
